Image url,Title,Design Type,Published,Published date,Total Applies,Total Usages
https://template.canva.com/EAFxE5PIVIg/1/0/400w-gVP4iB4KC1A.jpg,Purple Modern Halloween Sale Facebook Post,Facebook Post,Profile Only,"Oct 13, 2023",0,0
https://template.canva.com/EAFxD9_weCg/1/0/320w-90n01eEaP-I.jpg,Orange White Delicious Burger Instagram Post,1080 x 1350 px,Profile Only,"Oct 12, 2023",0,0
https://template.canva.com/EAFxDgnGCBg/2/0/400w-mf8qLoBI_Ls.jpg,Purple and Orange Modern Happy Halloween Party Card,Card (Square),Profile Only,"Oct 12, 2023",0,0
https://template.canva.com/EAFw-Eo8Eaw/1/0/225w-qipoIJOid_k.jpg,Red and Green Bold New Beverage Promo Your Story,Your Story,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw9I8tXCg/6/0/400w-8TwmzgJ_hBc.jpg,White Purple Happy Halloween 11.11 Sale Billboard,Billboard (Landscape),Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw8SSJH3w/4/0/400w-hh8vJvyCsZ0.jpg,Orange and Black Simple Animated Video Halloween Sale Twitter Post,Twitter Post,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw70qh-To/4/0/400w-BEmrMQAXTDE.jpg,Commercial HVAC Service Facebook Post,Facebook Post,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw77xDkEM/4/0/225w-3pvBp7LP-vo.jpg,Commercial HVAC Service Instagram Story,Your Story,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw78Xf_rE/4/0/320w-Lxkq2LqgOHw.jpg,Commercial HVAC Service Instagram Post,1080 x 1350 px,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw7xb-U3M/3/0/320w-_8KUYps8NQ4.jpg,Shoes Laundry Instagram Post,1080 x 1350 px,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw7xsJ6R0/3/0/225w-M5lmLUj5T1Y.jpg,Orange and Cream Retro Shoe Wash Instagram Story,Your Story,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw4aJoAfg/1/0/320w--zpNRl0H2PU.jpg,Merah dan Putih Simpel Sumpah Pemuda Instagram Post,1080 x 1350 px,Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw4WIXJiY/2/0/284w-3j8gqTHV8VY.jpg,Purple Orange Modern Halloween Sale Card,Card (105 x 148 mm),Profile Only,"Oct 11, 2023",0,0
https://template.canva.com/EAFw4DdkWyk/1/0/400w-9A4sUCf8PWg.jpg,Black and Purple Simple Halloween Special Sale Billboard,Billboard (Landscape),Profile Only,"Oct 10, 2023",0,0
https://template.canva.com/EAFw3rYC6ME/1/0/400w--PAClVzK9ic.jpg,Black and White ELegant Happy Wedding Instagram Post,Instagram Post,Profile Only,"Oct 10, 2023",0,0
https://template.canva.com/EAFw3t8ACEU/1/0/400w-jUQDnwhuh4k.jpg,Colorful Watercolor Fashion Logo,Logo,Profile Only,"Oct 10, 2023",0,0
https://template.canva.com/EAFw3pRZ9no/1/0/400w-vrEhlfa9RLk.jpg,Travel Agency Instagram Post in Black Brown,Instagram Post,Profile Only,"Oct 10, 2023",0,0
https://template.canva.com/EAFw1n7wrDM/2/0/283w-w0gA6pHvt2U.jpg,Red and Yellow Illustration Day of The Dead Greeting Poster,Poster,Profile Only,"Oct 10, 2023",0,0
https://template.canva.com/EAFwvojW-Tk/2/0/400w-M5ktHQKh30w.jpg,Blue and Light Blue Illustration Business Pitch Deck Presentation,Presentation,Profile Only,"Oct 9, 2023",0,0
https://template.canva.com/EAFweXw49Og/3/0/400w-Zw36iWMlMFE.jpg,Beige and Brown Photo Milk Shake Recipes YouTube Thumbnail,YouTube Thumbnail,Profile Only,"Oct 6, 2023",0,0
https://template.canva.com/EAFwebaVftA/3/0/320w-JXOPElf2LMM.jpg,Blue and White Illustration Cash Back Promo Instagram Post,1080 x 1350 px,Profile Only,"Oct 6, 2023",0,0
https://template.canva.com/EAFweWf7mVM/3/0/400w-cPnAcUmTN2Y.jpg,Red and Black Illustration Halloween Party Ticket,Ticket,Profile Only,"Oct 6, 2023",1,0
https://template.canva.com/EAFwYCQnSn8/4/0/400w-4fhl4FQzWiQ.jpg,Dark Blue and Blue Circle Restaurant Logo,Logo,Profile Only,"Oct 5, 2023",0,0
https://template.canva.com/EAFwYPB-wsI/4/0/225w-CIMHIA98tYM.jpg,Blue and Black Illustration Happy Halloween Greeting Instagram Story,Your Story,Profile Only,"Oct 5, 2023",2,1
https://template.canva.com/EAFwLfiEGF4/1/0/400w-XIEvScmfHtA.jpg,Navy and White Modern CCTV Service Instagram Post,Instagram Post,Profile Only,"Oct 3, 2023",0,0
https://template.canva.com/EAFwLZcnjHU/1/0/400w-MFXpB4LwZWU.jpg,Black and Green Modern CCTV Service Instagram Post,Instagram Post,Profile Only,"Oct 3, 2023",0,0
https://template.canva.com/EAFwLfTCU_A/1/0/400w-jQ6Ja9iO3bk.jpg,Purple and Orange Modern Halloween Giveaway Instagram Post,Instagram Post,Profile Only,"Oct 3, 2023",0,0
